track_id,track_start_datetime,track_end_datetime,track_length_images,n_detection_rows,representative_image_path,representative_crop_status,binary_class,order_name,regional_species_rank_1_name,global_family_rank_1_name,global_genus_rank_1_name,global_species_rank_1_name,mean_total_cost,track_duration_minutes,is_single_image_track
Track_002398,01/09/2025 23:03,01/09/2025 23:03,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T160323.jpg,crop_1,nonmoth,Diptera Nematocera,,,,,,0,TRUE
Track_002399,01/09/2025 23:09,01/09/2025 23:09,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T160926.jpg,crop_2,moth,Lepidoptera Micros,Tinea pellionella,Noctuidae,Limnaecia,Limnaecia phragmitella,,0,TRUE
Track_002400,01/09/2025 23:11,01/09/2025 23:11,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T161127.jpg,crop_2,nonmoth,Lepidoptera Micros,Tineola bisselliella,Erebidae,Manulea,Manulea complana,1.4549109661051316,0,TRUE
Track_002401,01/09/2025 23:13,01/09/2025 23:13,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T161328.jpg,crop_1,nonmoth,Diptera Nematocera,,,,,,0,TRUE
Track_002402,01/09/2025 23:13,01/09/2025 23:13,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T161328.jpg,crop_2,nonmoth,Lepidoptera Micros,Parapoynx allionealis,Noctuidae,Phlogophora,Phlogophora meticulosa,1.4007758607169256,0,TRUE
Track_002403,01/09/2025 23:15,01/09/2025 23:15,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T161529.jpg,crop_1,nonmoth,Diptera Nematocera,,,,,,0,TRUE
Track_002404,01/09/2025 23:17,01/09/2025 23:17,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T161730.jpg,crop_1,nonmoth,Lepidoptera Micros,Plodia interpunctella,Noctuidae,Plodia,Plodia interpunctella,,0,TRUE
Track_002405,01/09/2025 23:19,01/09/2025 23:19,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T161931.jpg,crop_1,nonmoth,Diptera Nematocera,,,,,,0,TRUE
Track_002406,01/09/2025 23:23,01/09/2025 23:23,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T162333.jpg,crop_1,nonmoth,Lepidoptera Micros,Phereoeca uterella,Pyralidae,Plodia,Plodia interpunctella,,0,TRUE
Track_002407,01/09/2025 23:25,01/09/2025 23:25,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T162534.jpg,crop_1,nonmoth,Diptera Brachycera,,,,,,0,TRUE
Track_002408,01/09/2025 23:29,01/09/2025 23:29,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T162936.jpg,crop_2,nonmoth,Lepidoptera Micros,Plodia interpunctella,Noctuidae,Amphipoea,Amphipoea oculea,,0,TRUE
Track_002409,01/09/2025 23:31,01/09/2025 23:31,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T163137.jpg,crop_1,nonmoth,Lepidoptera Micros,Phaeoses leucodeta,Erebidae,Manulea,Manulea complana,1.8758976570838943,0,TRUE
Track_002410,01/09/2025 23:33,01/09/2025 23:33,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T163338.jpg,crop_1,nonmoth,Lepidoptera Micros,Plodia interpunctella,Noctuidae,Dypterygia,Dypterygia scabriuscula,1.1646573676945196,0,TRUE
Track_002411,01/09/2025 23:35,01/09/2025 23:35,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T163539.jpg,crop_1,nonmoth,Diptera Nematocera,,,,,,0,TRUE
Track_002412,01/09/2025 23:45,01/09/2025 23:45,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T164544.jpg,crop_1,nonmoth,Diptera Nematocera,,,,,,0,TRUE
Track_002413,01/09/2025 23:53,01/09/2025 23:53,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T165348.jpg,crop_1,nonmoth,Diptera Nematocera,,,,,,0,TRUE
Track_002414,01/09/2025 23:55,01/09/2025 23:55,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T165549.jpg,crop_1,nonmoth,Diptera Nematocera,,,,,,0,TRUE
Track_002415,01/09/2025 23:59,01/09/2025 23:59,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T165951.jpg,crop_1,nonmoth,Diptera Nematocera,,,,,,0,TRUE
Track_002416,02/09/2025 00:01,02/09/2025 00:01,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T170152.jpg,crop_1,nonmoth,Diptera Nematocera,,,,,,0,TRUE
Track_002417,02/09/2025 00:03,02/09/2025 00:03,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T170353.jpg,crop_1,nonmoth,Diptera Nematocera,,,,,,0,TRUE
Track_002418,02/09/2025 00:05,02/09/2025 00:05,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T170554.jpg,crop_1,nonmoth,Diptera Nematocera,,,,,,0,TRUE
Track_002419,02/09/2025 00:18,02/09/2025 00:18,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T171800.jpg,crop_1,nonmoth,Diptera Brachycera,,,,,,0,TRUE
